Wavelength [nm],Epsilons_averaged,Epsilons_averaged_plus_error,Epsilons_averaged_minus_error
320.109,1526.6838536440794,1557.647612403949,1495.7200948842096
320.685,1490.6885326238848,1523.4413607097115,1457.9357045380582
321.262,1476.0720153246054,1504.9671692210864,1447.1768614281245
321.839,1468.0717423400324,1501.21062398406,1434.9328606960048
322.415,1444.2182246143354,1476.2101351310725,1412.2263140975983
322.992,1454.3982548315503,1486.4980294096852,1422.2984802534154
323.569,1450.3817647060432,1481.6935835008044,1419.069945911282
324.146,1448.6036169895017,1477.9207312840729,1419.2865026949305
324.722,1428.756632934717,1462.0061352678492,1395.5071306015845
325.299,1427.2574342328842,1459.1843879401151,1395.3304805256532
325.876,1432.339223116337,1466.1978720499121,1398.480574182762
326.452,1434.4001671563205,1467.877024729009,1400.923309583632
327.029,1445.1048585184722,1474.8463395604963,1415.363377476448
327.606,1436.83462037413,1468.1870663046197,1405.4821744436404
328.182,1431.9145510139492,1464.8447228778437,1398.9843791500548
328.759,1431.345847876303,1463.977905673596,1398.7137900790099
329.336,1433.3724986411125,1466.8669697567552,1399.8780275254699
329.913,1442.439691082865,1473.1114862211336,1411.7678959445964
330.489,1450.2175030139965,1478.6725578996163,1421.7624481283767
331.066,1459.3635150153077,1490.6229980803255,1428.10403195029
331.643,1478.1877135470177,1509.5275507597687,1446.8478763342666
332.219,1500.8501992603835,1531.5808257350056,1470.1195727857614
332.796,1516.4840371170237,1549.4125285489204,1483.555545685127
333.373,1530.6337578819437,1561.4032584211689,1499.8642573427185
333.95,1563.2396123171272,1591.4283901938893,1535.0508344403652
334.526,1598.9569904940704,1627.7333382273905,1570.1806427607503
335.103,1627.224148592181,1658.5228139843077,1595.9254832000545
335.68,1662.9851416203373,1690.7467273038985,1635.2235559367762
336.256,1701.8065429035494,1731.1987557318964,1672.4143300752023
336.833,1738.101046500085,1769.310324476538,1706.891768523632
337.41,1779.1724401049012,1807.6900253465794,1750.654854863223
337.987,1824.4739368601136,1853.8183170250702,1795.129556695157
338.563,1878.371492115708,1905.9316816231358,1850.8113026082801
339.14,1928.2496376188055,1952.5172314243525,1903.9820438132585
339.717,1972.1296736532738,2001.8261198532725,1942.433227453275
340.293,2040.4225246794103,2067.7705200165215,2013.0745293422992
340.87,2100.610306959099,2126.469772251952,2074.7508416662463
341.447,2155.0145621206584,2181.587302041214,2128.4418222001027
342.024,2232.490762282599,2262.9835060895166,2201.9980184756814
342.6,2315.929073259082,2343.5031344917124,2288.3550120264517
343.177,2396.503413788744,2420.3357246749565,2372.671102902532
343.754,2467.619404675856,2494.158963858856,2441.079845492856
344.33,2551.2372041344074,2578.4108796049027,2524.063528663912
344.907,2637.391229824191,2665.8060697845067,2608.9763898638757
345.484,2721.8390277859726,2748.518918943257,2695.159136628688
346.06,2819.0179341650082,2846.952678457758,2791.0831898722586
346.637,2914.5488421814675,2942.006617256372,2887.091067106563
347.214,3003.3906738475557,3027.684854530973,2979.0964931641383
347.791,3099.463684854776,3125.654621684671,3073.2727480248814
348.367,3203.2083466799236,3228.0025010999534,3178.4141922598938
348.944,3306.9295753531997,3330.454492980632,3283.4046577257673
349.521,3417.66342400324,3445.355024962253,3389.9718230442268
350.097,3529.814832654734,3558.7655065027598,3500.864158806708
350.674,3633.190574694052,3665.713056716627,3600.668092671477
351.251,3747.804497062265,3779.7345180419943,3715.8744760825357
351.828,3872.0099267469973,3898.874946865867,3845.1449066281275
352.404,3996.103528782705,4022.7504529347334,3969.4566046306763
352.981,4115.544021115983,4145.729783403578,4085.3582588283884
353.558,4249.225009853005,4276.358278785971,4222.091740920038
354.134,4374.969963717734,4405.261087819951,4344.678839615516
354.711,4509.721216012267,4535.549337387922,4483.893094636613
355.288,4646.406867050004,4670.195500627694,4622.6182334723135
355.865,4783.8437164722545,4808.173243758486,4759.514189186023
356.441,4930.096786496947,4952.706702067286,4907.486870926608
357.018,5040.935708059003,5070.088023602245,5011.783392515762
357.595,5180.250863589419,5208.4241851539755,5152.077542024863
358.171,5319.017676303456,5344.513978418247,5293.5213741886655
358.748,5456.885387219492,5481.11857914353,5432.6521952954545
359.325,5649.245067113765,5674.699603680922,5623.790530546607
359.901,5796.79270139546,5824.474464659319,5769.110938131602
360.478,5928.098123190854,5957.9432918878665,5898.252954493841
361.055,6073.397269720941,6102.5597014510095,6044.234837990873
361.632,6248.353685826792,6278.078256723196,6218.629114930387
362.208,6417.565999148263,6449.550751872994,6385.581246423531
362.785,6582.422549726733,6612.6773531298495,6552.167746323617
363.362,6732.5831419468595,6760.288381852642,6704.8779020410775
363.938,6894.891581803385,6924.014044756581,6865.7691188501885
364.515,7070.662680909058,7098.717208495901,7042.608153322214
365.092,7232.182165223243,7262.666198455314,7201.698131991172
365.669,7403.876152179309,7434.378152180251,7373.374152178368
366.245,7601.826066048237,7631.150412689378,7572.501719407097
366.822,7785.771359768092,7817.017382765607,7754.525336770577
367.399,7958.62139885972,7991.433063575381,7925.809734144059
367.975,8157.495576644312,8190.644339902245,8124.346813386379
368.552,8350.433294775952,8382.09181148324,8318.774778068664
369.129,8516.778417513084,8549.027346976609,8484.529488049558
369.706,8690.811519142311,8724.950066980933,8656.67297130369
370.282,8849.232860683709,8884.619473373403,8813.846247994015
370.859,9013.247340464119,9050.061467110574,8976.433213817663
371.436,9211.916543119693,9246.331226282153,9177.501859957232
372.012,9373.072565204811,9411.850621403051,9334.294509006571
372.589,9574.333179862093,9614.201210969919,9534.465148754267
373.166,9756.289260051451,9797.501026848044,9715.07749325486
373.743,9949.262820223126,9994.432834863283,9904.09280558297
374.319,10070.916578389119,10113.440114092358,10028.393042685879
374.896,10306.058579030367,10356.467170087555,10255.649987973178
375.473,10421.397455598024,10464.874777691097,10377.920133504951
376.049,10619.45593052379,10664.535645548824,10574.376215498758
376.626,10835.345019557433,10881.507653176268,10789.182385938599
377.203,11038.842997429105,11089.726305717131,10987.959689141078
377.779,11197.939069027489,11244.06859852766,11151.809539527318
378.356,11390.913287566305,11436.066428957545,11345.760146175066
378.933,11569.534451654115,11625.728935811001,11513.33996749723
379.51,11753.316308695905,11804.515100118322,11702.117517273487
380.086,11932.317745149805,11983.75379265147,11880.88169764814
380.663,12111.277078799403,12166.678830789822,12055.875326808984
381.24,12246.611855499901,12300.31753556887,12192.906175430931
381.816,12402.10693432765,12457.889950241934,12346.323918413367
382.393,12578.314442595261,12626.249271997547,12530.379613192976
382.97,12754.11659353034,12804.961199560596,12703.271987500084
383.547,12909.182172125036,12969.831756954576,12848.532587295496
384.123,13055.545282963916,13115.191361117793,12995.899204810039
384.7,13218.437931816701,13276.582500906652,13160.29336272675
385.277,13402.038069824133,13459.34247940249,13344.733660245776
385.853,13571.332003199146,13628.511192058058,13514.152814340234
386.43,13744.045228067576,13803.658671742283,13684.43178439287
387.007,13924.9171873851,13982.956658142955,13866.877716627243
387.584,14054.925558155855,14111.042448915718,13998.808667395993
388.16,14209.740507713423,14266.910026466752,14152.570988960093
388.737,14405.869075270235,14466.619513113761,14345.118637426709
389.314,14543.063938455101,14609.053589905161,14477.074287005042
389.89,14728.288664284657,14795.550995447002,14661.026333122312
390.467,14861.899629772393,14929.654618400644,14794.144641144143
391.044,15087.57226339994,15154.787924703303,15020.356602096575
391.62,15214.688591993661,15278.964381066286,15150.412802921037
