Wavelength [nm]	EpsilonAvg_Metastable	EpsilonPlusError_Metastable	EpsilonMinusError_Metastable
320.109	1364.1576609766055	1371.5028626780465	1356.812459275165
320.685	1316.0445789285195	1323.1307194508677	1308.958438406172
321.262	1265.2462463877948	1272.0588672068989	1258.4336255686912
321.839	1229.6848889395965	1236.3060323725406	1223.0637455066533
322.415	1185.3884696501327	1191.77110243021	1179.005836870056
322.992	1161.6528362898011	1167.9076663828941	1155.3980061967088
323.569	1144.5264102132737	1150.6890243862017	1138.3637960403462
324.146	1111.8035551370913	1117.789975620934	1105.8171346532492
324.722	1079.8925806819827	1085.7071789853198	1074.0779823786463
325.299	1061.807748651852	1067.5249705720935	1056.090526731611
325.876	1029.9913060978256	1035.5372148372912	1024.4453973583604
326.452	1011.203936743217	1016.6486863415536	1005.7591871448809
327.029	990.7565926387849	996.0912450899939	985.4219401875764
327.606	979.6104446689636	984.8850815461856	974.3358077917424
328.182	956.346490474474	961.4958643847971	951.1971165641513
328.759	925.4258302544382	930.4087142548668	920.44294625401
329.336	921.5318919335208	926.4938093234188	916.5699745436233
329.913	914.5191213673661	919.4432790350795	909.5949636996531
330.489	900.9430954585786	905.7941540619707	896.0920368551868
331.066	896.7282199456491	901.5565838769556	891.899856014343
331.643	888.1718220391308	892.9541147059061	883.3895293723559
332.219	886.7091081476804	891.4835249443335	881.9346913510277
332.796	895.7741015012745	900.5973280554132	890.9508749471363
333.373	897.1030521916534	901.933434378276	892.2726700050314
333.95	900.0199285787421	904.8660164612782	895.1738406962065
334.526	900.7921054470195	905.642351056341	895.9418598376984
335.103	915.8719250188549	920.8033667534814	910.9404832842288
335.68	912.0350058461189	916.9457879854201	907.1242237068183
336.256	949.5076947489517	954.6202456912002	944.3951438067038
336.833	931.7477744200768	936.7646984412231	926.7308503989309
337.41	953.5561960057862	958.6905457907716	948.4218462208013
337.987	972.2398796861686	977.4748303247679	967.0049290475697
338.563	993.9798901053776	999.331898153167	988.6278820575889
339.14	993.5814647473089	998.9313275044901	988.2316019901282
339.717	1028.614649485228	1034.1531457233514	1023.0761532471051
340.293	1057.6240077789266	1063.31870266915	1051.9293128887036
340.87	1082.3110725082922	1088.138692994318	1076.4834520222669
341.447	1098.8377669912122	1104.7543741888974	1092.9211597935275
342.024	1128.415438766831	1134.4913046567228	1122.3395728769397
342.6	1150.492213547097	1156.6869501279048	1144.2974769662899
343.177	1189.5130948655453	1195.9179363719427	1183.1082533591486
343.754	1209.3110525863226	1215.822494668955	1202.7996105036907
344.33	1235.8099856430642	1242.4641091867497	1229.1558620993794
344.907	1275.077073930728	1281.9426280824377	1268.211519779019
345.484	1297.532933032263	1304.5193990251757	1290.546467039351
346.06	1345.632408439499	1352.8778623475964	1338.3869545314021
346.637	1384.1532575180033	1391.6061239666644	1376.700391069343
347.214	1415.9117714521929	1423.5356391694447	1408.287903734942
347.791	1446.8865452356458	1454.6771942331002	1439.0958962381922
348.367	1487.3322851643609	1495.3407111286856	1479.3238592000368
348.944	1539.0612020939966	1547.3481584214271	1530.774245766567
349.521	1580.326824813206	1588.8359727031507	1571.8176769232623
350.097	1620.1942825057622	1628.9180936464825	1611.470471365043
350.674	1671.172530981177	1680.1708305686138	1662.1742313937411
351.251	1714.6871471764136	1723.9197478582607	1705.4545464945677
351.828	1765.7665596091917	1775.2741934472806	1756.258925771104
352.404	1820.7373886460334	1830.5410086729048	1810.933768619163
352.981	1867.1757199827414	1877.2293836226818	1857.122056342802
353.558	1903.2959182340742	1913.544068295373	1893.0477681727762
354.134	1954.4568878327173	1964.9805101885268	1943.933265476909
354.711	2003.8872627981589	2014.6770391951654	1993.0974864011532
355.288	2056.295625921317	2067.367591107049	2045.2236607355856
355.865	2113.2019759965274	2124.5803490347776	2101.8236029582786
356.441	2160.7912023718577	2172.4258159287383	2149.1565888149785
357.018	2222.925597099629	2234.8947685121943	2210.956425687065
357.595	2270.3589140485474	2282.5834864974627	2258.134341599633
358.171	2316.0432107047786	2328.5137667251884	2303.5726546843703
358.748	2374.93711068377	2387.7247763658447	2362.149445001696
359.325	2455.048984352525	2468.2680062389527	2441.829962466099
359.901	2511.856709904211	2525.3816086070165	2498.331811201407
360.478	2580.004424906895	2593.896259724569	2566.112590089222
361.055	2647.8831370924163	2662.1404596000393	2633.6258145847946
361.632	2709.2874741196797	2723.875423543612	2694.6995246957486
362.208	2774.157134375407	2789.094369481276	2759.2198992695403
362.785	2845.896789958913	2861.220301706644	2830.5732782111836
363.362	2909.6182717796582	2925.284886931106	2893.9516566282114
363.938	2972.821118531169	2988.8280445358087	2956.8141925265304
364.515	3051.3730120867713	3067.802894703173	3034.943129470371
365.092	3112.7773491140338	3129.537858646745	3096.016839581324
365.669	3171.3534064669016	3188.4293142621746	3154.2774986716304
366.245	3247.00632959681	3264.4895847211997	3229.523074472422
366.822	3321.763364090842	3339.649142701093	3303.877585480593
367.399	3382.179507015002	3400.390591686638	3363.968422343368
367.975	3463.649269108586	3482.2990214300576	3444.999516787116
368.552	3549.0480078044093	3568.15758304717	3529.93843256165
369.129	3621.8336148467147	3641.3350985762886	3602.332131117143
369.706	3691.143504698796	3711.0181821840706	3671.2688272135233
370.282	3747.71311403559	3767.892386218851	3727.533841852331
370.859	3826.253491554014	3846.855658341823	3805.651324766207
371.436	3906.706121810045	3927.7414795797663	3885.670764040325
372.012	3968.4122380679864	3989.7798476610074	3947.044628474968
372.589	4047.131911426778	4068.9233810289697	4025.3404418245887
373.166	4110.785241930066	4132.919447980464	4088.651035879672
373.743	4183.502697654918	4206.028445236615	4160.976950073222
374.319	4262.864906831664	4285.817974107083	4239.911839556247
374.896	4354.698807102737	4378.146346930572	4331.251267274905
375.473	4403.290696448397	4426.999875556286	4379.581517340511
376.049	4491.461729160946	4515.645658393416	4467.277799928477
376.626	4614.048645679044	4638.892634707784	4589.204656650307
377.203	4647.783547819437	4672.809179826615	4622.757915812262
377.779	4712.721241279421	4738.096525288075	4687.345957270768
378.356	4811.312634053531	4837.218775811746	4785.4064922953185
378.933	4902.805777737327	4929.204557270398	4876.406998204258
379.51	4975.284703851086	5002.073740571166	4948.495667131008
380.086	5016.750941843603	5043.763250323662	4989.738633363547
380.663	5099.422328595992	5126.879774781175	5071.964882410813
381.24	5177.114830495081	5204.990605963941	5149.239055026224
381.816	5270.014170903248	5298.390155704759	5241.63818610174
382.393	5322.856422873331	5351.516932704596	5294.195913042068
382.97	5404.126868938827	5433.224973218149	5375.028764659508
383.547	5492.0420684562205	5521.613545346018	5462.470591566425
384.123	5579.634818932609	5609.677932230894	5549.591705634327
384.7	5638.94223323121	5669.304682727118	5608.579783735305
385.277	5682.729454696265	5713.327673108631	5652.131236283903
385.853	5737.802333539488	5768.6970876199475	5706.907579459032
386.43	5829.629619471256	5861.018810489732	5798.240428452783
387.007	5927.767516606948	5959.6851235627	5895.8499096512005
387.584	6007.777163299522	6040.1255760263575	5975.428750572689
388.16	6088.536474484102	6121.319729492654	6055.753219475552
388.737	6164.66149608172	6197.854640397173	6131.46835176627
389.314	6216.831329593782	6250.30537835367	6183.357280833899
389.89	6297.212560419306	6331.119415716379	6263.305705122236
390.467	6369.0472971302925	6403.340941026226	6334.753653234363
391.044	6434.199956617598	6468.844409983	6399.5555032522
391.62	6510.66927819855	6545.725474727556	6475.613081669548
392.197	6591.970256526718	6627.464211902394	6556.476301151047
392.774	6688.438446384754	6724.45182728766	6652.42506548185
393.351	6774.445409013393	6810.921887772441	6737.968930254349
393.927	6828.837955814082	6865.607307045817	6792.06860458235
394.504	6896.811099504463	6933.946446885301	6859.675752123628
395.081	6970.005614451502	7007.535072052225	6932.476156850782
395.657	7108.963434139293	7147.241099401635	7070.685768876954
